date,server,power_state,cpu_avg,cpu_max,mem_avg,mem_max
2026-01-01,gti-com-hp27.hci.bri.co.id,1,94.53,100.0,81.44,82.19
2026-01-02,gti-com-hp27.hci.bri.co.id,1,90.5,97.7,78.97,78.97
2026-01-03,gti-com-hp27.hci.bri.co.id,1,67.53,91.95,68.42,75.65
2026-01-04,gti-com-hp27.hci.bri.co.id,1,79.09,93.77,69.29,80.22
2026-01-05,gti-com-hp27.hci.bri.co.id,1,88.08,93.49,78.59,79.01
2026-01-06,gti-com-hp27.hci.bri.co.id,1,90.08,100.0,82.34,82.34
2026-01-07,gti-com-hp27.hci.bri.co.id,1,93.03,100.0,72.69,80.4
2026-01-08,gti-com-hp27.hci.bri.co.id,1,91.87,94.19,76.91,83.06
2026-01-09,gti-com-hp27.hci.bri.co.id,1,93.55,93.55,73.21,81.73
2026-01-10,gti-com-hp27.hci.bri.co.id,1,77.59,92.29,72.29,78.96
2026-01-11,gti-com-hp27.hci.bri.co.id,1,75.07,90.96,72.41,76.3
2026-01-12,gti-com-hp27.hci.bri.co.id,1,95.29,98.3,81.16,81.16
2026-01-13,gti-com-hp27.hci.bri.co.id,1,93.67,93.67,81.63,82.36
2026-01-14,gti-com-hp27.hci.bri.co.id,1,92.7,95.39,76.99,80.96
2026-01-15,gti-com-hp27.hci.bri.co.id,1,97.75,97.75,76.44,78.38
2026-01-16,gti-com-hp27.hci.bri.co.id,1,95.73,96.98,78.6,82.8
2026-01-17,gti-com-hp27.hci.bri.co.id,1,71.4,97.97,69.17,80.67
2026-01-18,gti-com-hp27.hci.bri.co.id,1,73.97,94.78,69.42,77.48
2026-01-19,gti-com-hp27.hci.bri.co.id,1,91.87,97.78,78.83,79.67
2026-01-20,gti-com-hp27.hci.bri.co.id,1,85.52,96.79,77.75,87.28
2026-01-21,gti-com-hp27.hci.bri.co.id,1,91.79,100.0,78.6,82.15
2026-01-22,gti-com-hp27.hci.bri.co.id,1,95.36,99.42,75.54,86.46
2026-01-23,gti-com-hp27.hci.bri.co.id,1,88.93,88.93,76.42,80.1
2026-01-24,gti-com-hp27.hci.bri.co.id,1,70.18,92.57,71.28,78.92
2026-01-25,gti-com-hp27.hci.bri.co.id,1,84.38,88.45,66.97,80.44
2026-01-26,gti-com-hp27.hci.bri.co.id,1,100.0,100.0,79.88,80.78
2026-01-27,gti-com-hp27.hci.bri.co.id,1,100.0,100.0,78.79,78.79
2026-01-28,gti-com-hp27.hci.bri.co.id,1,100.0,100.0,79.12,82.25
2026-01-29,gti-com-hp27.hci.bri.co.id,1,100.0,100.0,75.85,85.58
2026-01-30,gti-com-hp27.hci.bri.co.id,1,100.0,100.0,76.03,80.91
2026-01-31,gti-com-hp27.hci.bri.co.id,1,82.52,95.17,72.26,88.05
2026-02-01,gti-com-hp27.hci.bri.co.id,1,76.38,91.14,68.0,81.34
2026-02-02,gti-com-hp27.hci.bri.co.id,1,100.0,100.0,79.79,82.22
2026-02-03,gti-com-hp27.hci.bri.co.id,1,96.46,100.0,77.13,80.17
2026-02-04,gti-com-hp27.hci.bri.co.id,1,94.97,100.0,82.48,82.48
2026-02-05,gti-com-hp27.hci.bri.co.id,1,95.87,100.0,80.72,80.72
2026-02-06,gti-com-hp27.hci.bri.co.id,1,93.82,100.0,78.68,79.91
2026-02-07,gti-com-hp27.hci.bri.co.id,1,79.01,90.73,72.75,75.39
2026-02-08,gti-com-hp27.hci.bri.co.id,1,74.8,87.55,68.08,80.96
2026-02-09,gti-com-hp27.hci.bri.co.id,1,91.26,92.02,78.27,78.89
2026-02-10,gti-com-hp27.hci.bri.co.id,1,98.43,100.0,78.41,85.42
2026-02-11,gti-com-hp27.hci.bri.co.id,1,97.73,100.0,80.2,80.2
2026-02-12,gti-com-hp27.hci.bri.co.id,1,91.2,92.63,73.88,84.87
2026-02-13,gti-com-hp27.hci.bri.co.id,1,91.61,100.0,77.31,83.69
2026-02-14,gti-com-hp27.hci.bri.co.id,1,75.64,92.84,74.51,76.05
2026-02-15,gti-com-hp27.hci.bri.co.id,1,73.42,90.02,75.08,79.57
2026-02-16,gti-com-hp27.hci.bri.co.id,1,85.64,95.85,74.86,78.49
2026-02-17,gti-com-hp27.hci.bri.co.id,1,93.1,95.48,84.12,84.12
2026-02-18,gti-com-hp27.hci.bri.co.id,1,95.24,95.24,78.5,86.22
2026-02-19,gti-com-hp27.hci.bri.co.id,1,95.4,95.4,78.37,80.51
2026-02-20,gti-com-hp27.hci.bri.co.id,1,100.0,100.0,77.03,77.81
