server,cpu_mean,cpu_median,cpu_p25,cpu_p75,cpu_max,cpu_std,mem_mean,mem_median,mem_p25,mem_p75,mem_max,mem_std,uptime_ratio,samples_count,cpu_cv,mem_cv,cpu_peak_to_mean,mem_peak_to_mean,cpu_iqr,mem_iqr,cluster
172.18.129.195,4.663410404624277,4.52,3.66,5.6,17.42,1.4474092489953074,73.97473988439306,75.16,69.18,76.11,100.0,5.158140052211218,1.0,173,0.31037569576978347,0.06972839729172829,3.7354636389553413,1.3518127965881184,1.9399999999999995,6.929999999999993,4
172.18.145.165,2.5696531791907513,0.38,0.0,4.27,18.85,3.6651799498882047,49.18202312138728,49.33,46.04,52.26,62.89,5.037039084983196,1.0,173,1.4263325415153738,0.10241626442554352,7.335620290181083,1.2787192557081222,4.27,6.219999999999999,4
172.18.145.166,2.681907514450867,0.27,0.0,4.38,18.23,3.685896336761276,2.2552601156069367,0.62,0.0,3.97,14.15,3.041738633496416,1.0,173,1.3743562434202659,1.3487307350699196,6.797400694010388,6.274220832478982,4.38,3.97,2
172.18.145.167,2.539364161849711,0.0,0.0,4.3,22.94,3.9932597499497353,62.380289017341035,62.74,58.75,65.87,91.27,6.222996215066141,1.0,173,1.572543162553332,0.09975901543733176,9.033757483326125,1.46312242917996,4.3,7.1200000000000045,4
172.18.145.168,1.228092485549133,0.0,0.0,2.44,11.3,1.7008460113094872,0.9242196531791906,0.44,0.0,1.48,8.41,1.2078662226989745,1.0,173,1.3849494491035548,1.3069038496899281,9.201261413913207,9.099568453311653,2.44,1.48,2
172.18.156.216,5.99942196531792,6.27,2.67,8.5,26.57,4.249232996586814,43.50601156069364,43.12,40.52,46.46,61.02,4.407000606841661,1.0,173,0.708273733894902,0.10129635994542079,4.428759996146064,1.4025647907272134,5.83,5.939999999999998,4
gti-com-hp01.hci.bri.co.id,43.634682080924854,44.29,39.32,48.41,62.94,6.675511350291805,55.0042774566474,54.89,52.42,57.01,80.97,4.580875966476792,1.0,173,0.15298636387246745,0.08328217691955486,1.4424305849936414,1.472067332650955,9.089999999999996,4.589999999999996,4
gti-com-hp02.hci.bri.co.id,59.57716763005781,60.0,54.13,63.69,100.0,8.194022109220109,40.365375722543355,40.7,38.4,41.62,60.26,3.0147113138219788,1.0,173,0.13753628168597376,0.07468557544327069,1.6784953695843055,1.4928635971136481,9.559999999999995,3.219999999999999,1
gti-com-hp03.hci.bri.co.id,43.982543352601155,43.56,38.37,49.16,95.71,9.936382197166521,46.00745664739885,45.63,41.73,49.7,82.02,6.351103035915806,1.0,173,0.22591649867785277,0.13804508005279797,2.1760906192420006,1.7827544919207616,10.79,7.970000000000006,1
gti-com-hp04.hci.bri.co.id,44.12202312138728,44.93,40.94,47.4,70.91,6.369016203057668,57.12080924855491,57.61,54.25,59.1,83.12,4.101368381055678,1.0,173,0.14435004907946783,0.07180165048448499,1.607133920512085,1.4551614568048656,6.460000000000001,4.850000000000001,4
